1	s0	0.11894
0	s0	0.02477647
-2	s0	0.02990262
2	s0	0.1266863
-1	s0	0.0474943
-3	s0	0.08321425
6	s0	0.001549875
3	s0	0.146045
4	s0	0.02534168
-4	s0	0.06931261
-5	s0	0.1122217
5	s0	0.1046272
-6	s0	0.109888
1	s1	0.1260644
0	s1	0.02592357
-2	s1	0.1283629
2	s1	0.07683552
-1	s1	0.06272188
-3	s1	0.1505137
6	s1	0.004120128
3	s1	0.08530938
4	s1	0.02665294
-4	s1	0.125427
-5	s1	0.007561326
5	s1	0.1621505
-6	s1	0.01835675
1	s2	0.1360537
0	s2	0.003975936
-2	s2	0.1362945
2	s2	0.06925152
-1	s2	0.02565446
-3	s2	0.1387679
6	s2	0.10517
3	s2	0.07919847
4	s2	0.1421058
-4	s2	0.03545463
-5	s2	0.03386669
5	s2	0.07528328
-6	s2	0.01892317
